,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Boston Braves,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Red Sox,,x,x,,,x,x,x,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Milwaukee Braves,,,,x,x,,,,,,,x,,,x,x,,,,,,,,,,,,,,
NY Yankees,,,,x,x,,x,,,,,x,,x,x,x,,,,x,,,,,,,,x,x,x
NY Giants,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago White Sox,,,,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,
Brooklyn Dodgers,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Cubs,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Senators,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore Orioles,,,,,,,x,,,,,,,,,,,,,,,,,x,,xx,,,,
Cleveland Indians,,,,,,,x,,,,,,,,x,,,x,,,,,,,,,,,,
Pittburg Pirates,,,,,,,x,,,,,x,,,x,,,,,,,,,,,,,,,
Detroit Tigers,,,,,,,x,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Minnesota Twins,,,,,,,,,,,,,,,x,x,x,x,,,,,x,,,x,x,,,
St. Louis Cardnals,,,,,,,,,,,,,,,x,x,,,,,,,,x,,,,,,
Cincinnati Reds,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,
LA Dodgers,,,,,,,,,,,,,,,,x,x,x,x,,,x,x,x,x,x,x,x,,
Atlanta Braves,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
NY Mets,,,,,,,,,,,,,,,,,x,x,,x,x,,,,,,,,,
Kansas City A's,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,
Oaland A's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montreal Expos,,,,,,,,,,,,,,,,,,,,,,,,x,x,,x,,,
Philadelphia Phillies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
